,acc_nbr,tearly,tmid,tlate,cearly,cmid,clate
2386,925FB4711E3A74997240036E9E00CB28,51.36751,0.0,0.0,2.2,0.0,0.0
2387,927B70CAFBD0B2C8DA7F0A880C11DED4,70.4361,1977.04387,180.10093999999998,3.5,92.1,12.4
2388,92891B7E70787FE59EEF56EACD101B44,65.60069,0.0,0.0,1.3,0.0,0.0
2389,92B1D130F4C56F6F2DF9AB71A6EBDE38,50.793130000000005,0.0,0.0,6.4,0.0,0.0
2390,92B62C8D7D5693926287DE98E19B940E,1.8238800000000002,0.0,0.0,2.0,0.0,0.0
2391,92B762E70F4A5EEEA5B4E332C787A2D8,136.36626,0.62443,0.76771,16.6,1.4,0.8
2392,92C382FCA82D64EECF972274C871C185,605.3389599999999,14.58756,0.0,45.2,1.8,0.0
2393,92D162EA99C3C73B541A9535D1926D35,250.46540999999996,0.0,0.0,28.8,0.0,0.0
2394,92D2ABEBDC6EC387DCDFA01EF79FC744,48.267939999999996,0.0,0.0,29.0,0.0,0.0
2395,92E5495537847090DE653EB4A6B332A1,0.0377,0.0,0.0,0.5,0.0,0.0
2396,92F34D87A4DE39022AB287AA80CD9514,965.7104800000001,0.0,0.0,28.0,0.0,0.0
2397,92F4A01843EFC4AD1B96CCC42187DDFA,415.8594999999999,0.0,0.0,6.9,0.0,0.0
2398,92F9A211057BD0993A4A6C3374ADF137,14.50339,0.0,0.0,11.9,0.0,0.0
2399,92FB704CEDA68E27072B74F4F2FA112B,1820.97144,5.88391,0.0,134.4,1.0,0.0
2400,93122E8F7DDE4312AF9BA86EA6343F08,40.568160000000006,0.0,0.0,6.2,0.0,0.0
2401,93172A76BD7BA5887B264023EFE72B62,223.32116000000002,0.0,0.0,14.1,0.0,0.0
2402,931970D3E89D3ACBE733FDEE1CBFFA67,209.38113000000004,0.0,0.0,26.1,0.0,0.0
2403,932AC9B4E3DF3A54A83BB6B1627222BB,2.22049,0.0,0.0,1.0,0.0,0.0
2404,932ADE1E4AD7D0C1F8A8219552049A5B,490.16654,569.07389,0.0,23.0,14.7,0.0
2405,93343B859995FD503685FE833E43A688,695.35493,0.0,0.0,12.9,0.0,0.0
2406,933442CBB4CCFBDD456E3EEB3476D0C1,77.63235999999999,0.0,0.0,10.4,0.0,0.0
2407,935106698D07A16F6EFD3E2BC9AE546F,364.31859,0.0,0.0,11.1,0.0,0.0
2408,935AFC92FA74A8E1185A75884C5DA7D4,1685.1839399999997,4297.79601,119.79749999999999,143.9,257.9,20.0
2409,937B2BE8C0D4001D95BEAD335293B9A8,0.0,3994.96567,147.05307,0.0,220.9,10.1
2410,938024F7E1354E5060DC03823D4083E2,171.37167,256.39619000000005,0.0,23.0,28.1,0.0
2411,9383C25D4092DD8712DAEDC53A1CB565,1660.67003,348.35754,0.0,157.0,46.1,0.0
2412,9392844428E56450975604681A1517D7,181.80694,0.0,0.0,6.3,0.0,0.0
2413,9394C6B5F3ADD05A76717E8185167892,61.60882,0.0,0.0,6.4,0.0,0.0
2414,93A2C84C247A865F2842F576BE150439,71.20941,0.0,0.0,21.4,0.0,0.0
2415,93AECFB52CFCE025B51BB6A44B8DC034,0.04013,0.0,0.0,0.5,0.0,0.0
2416,93B60BC55BB8C9119C64B3BC637F52B3,175.62675,0.0,0.0,8.9,0.0,0.0
2417,93BB03044EC9C9D9AF5249B17C350139,0.0,1425.27067,0.0,0.0,67.8,0.0
2418,93C47C2AA3A7CD02033C86D88868A07B,481.79496000000006,0.0,0.0,35.1,0.0,0.0
2419,93D4C31FD7F329ED6733C84B4C95C5AE,1.30986,0.0,0.0,8.0,0.0,0.0
2420,93D51D1A5C655C8725E82A8E496ED7A6,783.42737,0.0,0.0,11.8,0.0,0.0
2421,93E95EF73397349A02BD4903ECF2B9CC,45.01011,0.0,0.0,22.2,0.0,0.0
2422,93F073DF4C8A515038346B530D8D55EF,0.07067,0.0,0.0,1.2,0.0,0.0
2423,93FCAC5F918B37E79A7B0FC550A802A1,0.9678800000000001,0.0,0.0,0.5,0.0,0.0
2424,940DD7AABA9748F7461A2F8F5639C54C,0.8312200000000001,0.0,0.0,1.1,0.0,0.0
2425,941C4F24070FC22AF64659F58F218A69,0.0,0.0,2.92034,0.0,0.0,0.8
2426,942DC3390FB9A23508E8E031693B268E,0.0,5.58146,0.0,0.0,0.7,0.0
2427,9444D23A248B7D816DD115D4DC3A6D20,0.0,66.19505999999998,0.18631999999999999,0.0,6.8,3.4
2428,9459348D043C2DF1C6B7EA480A339339,44.32212,0.0,0.0,14.7,0.0,0.0
2429,9486F6D6E191615FA8D0E8BC6858AEFD,65.16771000000001,0.0,0.0,10.0,0.0,0.0
2430,94A94084B1A061DFB3C04AC17525E233,17.41013,0.0,0.0,2.6,0.0,0.0
2431,94B2E2DD9796818904117B59A986423C,595.7706400000001,0.0,0.0,9.9,0.0,0.0
2432,94B5E61072D36E795E759F4FAAC90605,93.40002999999999,0.0,0.0,13.0,0.0,0.0
2433,94C0760EE69FFF9C90B659332944CDEE,198.08418999999998,0.0,0.0,17.4,0.0,0.0
2434,94CDF2AF68C6069914A5197F35739D14,1018.7898700000002,0.0,0.0,14.7,0.0,0.0
2435,94F9AE2082FA639EE851E6AC07530A9B,29.38093,0.0,0.0,1.6,0.0,0.0
2436,950DE2A4604AFEF90B93026BE235A9A2,474.1095,284.43141,221.24313999999998,45.0,34.7,7.0
2437,95231AD8CD3320DB6844F16D83B5C6B2,0.43525,0.0,0.0,7.0,0.0,0.0
2438,95266D2A6076E3480F7B8C068AE8ECC3,2129.9677400000005,0.0,0.0,129.2,0.0,0.0
2439,953F58B3DDE86BB3F0FC5FF6BF6278AE,443.09002999999996,0.0,0.0,26.7,0.0,0.0
2440,95540AB4151AC622CDCD4325397C7BF2,1486.30923,0.0,0.0,28.3,0.0,0.0
2441,956066AD6FAD500447C60C383922E1CC,15.849309999999997,0.0,0.0,7.7,0.0,0.0
2442,9573B214AC968A9A40E4CF0F06AB18E6,121.79096,0.0,0.0,9.5,0.0,0.0
2443,95793EF87067545031FCBF6690BC5817,678.2584300000001,135.19185,0.0,156.7,21.1,0.0
2444,95C11D9D823DAF78FE50CCAC76604AF3,34.98196,0.0,0.0,17.6,0.0,0.0
2445,95C3AF8E2B7BF1BBF1305D46B951003C,129.49479,0.0,0.0,11.6,0.0,0.0
